manager_name,transfermarkt_manager_id,club,role,appointed_date,in_charge_until,days_in_charge,matches,wins,draws,losses,players_used,avg_goals,ppm,games_ppg,assistant_manager_of,profile_url,scraped_at
Igor Tudor,28632,Karabükspor Manager,16/17 (01/07/2016),14/02/2017,01/07/2016,21,8,3,10,35,1.29 : 1.57,1.29,21 / 1.29,,,https://www.transfermarkt.com/igor-tudor/profil/trainer/28632,2026-03-13T14:54:07.716588+00:00
Igor Tudor,28632,PAOK Manager,15/16 (01/07/2015),09/03/2016,01/07/2015,45,17,17,11,45,1.51 : 1.00,1.51,45 / 1.51,,,https://www.transfermarkt.com/igor-tudor/profil/trainer/28632,2026-03-13T14:54:07.716588+00:00
Igor Tudor,28632,Hajduk Split Manager,12/13 (29/04/2013),04/02/2015,29/04/2013,70,32,18,20,50,1.70 : 1.34,1.63,70 / 1.63,,,https://www.transfermarkt.com/igor-tudor/profil/trainer/28632,2026-03-13T14:54:07.716588+00:00
Igor Tudor,28632,Croatia Assistant Manager,12/13 (30/07/2012),28/04/2013,30/07/2012,-,-,-,-,-,0.00 : 0.00,0.00,-,,Igor Stimac (8 Games),https://www.transfermarkt.com/igor-tudor/profil/trainer/28632,2026-03-13T14:54:07.716588+00:00
Igor Tudor,28632,Hajduk U17 Manager,12/13 (01/07/2012),28/04/2013,01/07/2012,-,-,-,-,-,0.00 : 0.00,0.00,-,,,https://www.transfermarkt.com/igor-tudor/profil/trainer/28632,2026-03-13T14:54:07.716588+00:00
Igor Tudor,28632,Hajduk Yth. Manager,11/12 (17/08/2011),30/06/2012,17/08/2011,-,-,-,-,-,0.00 : 0.00,0.00,-,,,https://www.transfermarkt.com/igor-tudor/profil/trainer/28632,2026-03-13T14:54:07.716588+00:00
Igor Tudor,28632,Hajduk Split Assistant Manager,09/10 (22/08/2009),12/02/2010,22/08/2009,-,-,-,-,-,0.00 : 0.00,0.00,-,,Edoardo Reja (13 Games),https://www.transfermarkt.com/igor-tudor/profil/trainer/28632,2026-03-13T14:54:07.716588+00:00
Vítor Pereira,7571,Nott'm Forest Manager,25/26 (15/02/2026),30/06/2027,15/02/2026,6,1,1,4,22,1.17 : 1.33,0.67,6 / 0.67,,,https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:14.303665+00:00
Vítor Pereira,7571,Wolves Manager,24/25 (19/12/2024),02/11/2025,19/12/2024,38,14,5,19,39,1.42 : 1.68,1.24,38 / 1.24,,,https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:14.303665+00:00
Vítor Pereira,7571,Al-Shabab Manager,23/24 (04/02/2024),18/12/2024,04/02/2024,30,16,4,10,39,1.63 : 0.97,1.73,30 / 1.73,,,https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:14.303665+00:00
Vítor Pereira,7571,Flamengo Manager,22/23 (01/01/2023),10/04/2023,01/01/2023,20,10,2,8,37,2.05 : 1.50,1.60,20 / 1.60,,,https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:14.303665+00:00
Vítor Pereira,7571,Corinthians Manager,21/22 (23/02/2022),31/12/2022,23/02/2022,64,29,17,18,45,1.45 : 1.14,1.63,64 / 1.63,,,https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:14.303665+00:00
Vítor Pereira,7571,Fenerbahçe Manager,21/22 (02/07/2021),20/12/2021,02/07/2021,25,11,7,7,28,1.64 : 1.28,1.60,25 / 1.60,,,https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:14.303665+00:00
Vítor Pereira,7571,SH SIPG Manager,17/18 (12/12/2017),31/12/2020,12/12/2017,117,71,25,21,40,2.11 : 1.15,2.03,117 / 2.03,,,https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:14.303665+00:00
Vítor Pereira,7571,1860 Munich Manager,16/17 (01/01/2017),30/06/2017,01/01/2017,20,6,3,11,25,0.90 : 1.35,1.05,20 / 1.05,,,https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:14.303665+00:00
Vítor Pereira,7571,Fenerbahçe Manager,15/16 (01/07/2015),15/08/2016,01/07/2015,61,37,15,9,41,1.72 : 0.89,2.07,61 / 2.07,,,https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:14.303665+00:00
Vítor Pereira,7571,Olympiacos Manager,14/15 (08/01/2015),30/06/2015,08/01/2015,27,18,6,3,29,2.44 : 0.67,2.22,27 / 2.22,,,https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:14.303665+00:00
Vítor Pereira,7571,Al-Ahli Manager,13/14 (01/07/2013),30/06/2014,01/07/2013,37,19,10,8,33,1.89 : 0.95,1.81,37 / 1.81,,,https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:14.303665+00:00
Vítor Pereira,7571,Porto Manager,11/12 (01/07/2011),30/06/2013,01/07/2011,93,65,16,12,42,2.04 : 0.72,2.27,93 / 2.27,,,https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:14.303665+00:00
Vítor Pereira,7571,Porto Assistant Manager,10/11 (01/07/2010),30/06/2011,01/07/2010,-,-,-,-,-,0.00 : 0.00,0.00,-,,André Villas-Boas (58 Games),https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:14.303665+00:00
Vítor Pereira,7571,Santa Clara Manager,07/08 (01/07/2008),30/06/2010,01/07/2008,71,32,21,18,36,1.49 : 1.08,1.65,71 / 1.65,,,https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:14.303665+00:00
Vítor Pereira,7571,Espinho Manager,05/06 (01/07/2005),19/03/2007,01/07/2005,1,1,0,0,14,1.00 : 0.00,3.00,1 / 3.00,,,https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:14.303665+00:00
Vítor Pereira,7571,Sanjoanense Manager,04/05 (30/11/2004),30/06/2005,30/11/2004,-,-,-,-,-,0.00 : 0.00,0.00,-,,,https://www.transfermarkt.com/vitor-pereira/profil/trainer/7571,2026-03-13T14:54:14.303665+00:00
